Aratama	あらたま
オオサワ	おおさわ
かなしま	かなしま
きのした	きのした
さいき	さいき
さいた	さいた
さいだ	さいだ
のざわ	のざわ
一の瀬	いちのせ
一ノ瀬	いちのせ
一丸	いちまる
一井	いちい
一力	いちりき
一場	いちば
一宮	いちのみや
一尾	いちお
一川	いちかわ
一木	いちき
一木	いっき
一村	いちむら
一条	いちじょう
一柳	いちやなぎ
一條	いちじょう
一森	いちもり
一見	かずみ
一谷	いちたに
丁野	ちょうの
七尾	ななお
七瀬	ななせ
七田	しちだ
万波	まんなみ
三上	みかみ
三井	みい
三井	みつい
三保	みほ
三原	みはら
三善	みよし
三塚	みつずか
三好	みよし
三宅	みやけ
三尾	みお
三岸	みぎし
三島	みしま
三戸	みと
三戸部	みとべ
三明	みあけ
三木	みき
三木原	みきはら
三村	みむら
三枝	さいぐさ
三枝	さえぐさ
三枝	みえだ
三池	みいけ
三沢	みさわ
三津原	みつはら
三津谷	みつや
三澤	みさわ
三田	みた
三田村	みたむら
三神	みかみ
三船	みふね
三輪	みわ
三野	みの
三門	みかど
三間	みま
三鬼	みき
三鷹	みたか
上原	うえはら
上原	かんばる
上垣	うえがき
上山	うえやま
上山	かみやま
上岡	かみおか
上廣	うえひろ
上杉	うえすぎ
上松	あげまつ
上條	かみじょう
上武	かみたけ
上江洲	うえず
上田	うえだ
上西	うえにし
上西	じょうにし
上野	うえの
下上	しもがみ
下保	かほ
下山	しもやま
下島	しもじま
下崎	しもざき
下田	しもだ
下西	しもにし
下野	しもの
不破	ふわ
与謝野	よさの
世古	せこ
世羅	せら
世良	せら
中井	なかい
中井川	なかいがわ
中代	なかだい
中倉	なかくら
中内	なかうち
中地	なかち
中塚	なかつか
中家	なかや
中岡	なかおか
中島	なかしま
中崎	なかざき
中嶋	なかしま
中平	なかひら
中新井	なかあらい
中本	なかもと
中杉	なかすぎ
中条	ちゅうじょう
中林	なかばやし
中桐	なかぎり
中條	なかじょう
中沢	なかざわ
中津川	なかつがわ
中浜	なかはま
中浦	なかうら
中澤	なかざわ
中濱	なかはま
中田	なかだ
中矢	なかや
中筋	なかすじ
中能島	なかのしま
中舘	なかだて
中西	なかにし
中辻	なかつじ
中込	なかごみ
中込	なかごめ
中里	なかざと
中馬	ちゅうま
丸井	まるい
丸尾	まるお
丸岡	まるおか
丸木	まるき
丸野	まるの
丹下	たんげ
丹波	たんば
丹野	たんの
丹野	にわの
久世	くぜ
久住	くすみ
久保	くぼ
久保倉	くぼくら
久保木	くぼき
久和原	くわはら
久坂部	くさかべ
久慈	くじ
久永	ひさなが
久田	ひさだ
久米	くめ
久野	くの
九条	くじょう
九鬼	くき
乾	いぬい
亀井	かめい
亀岡	かみおか
二上	ふたがみ
二宮	にのみや
二木	にき
二木	ふたき
二本柳	にほんやなぎ
二村	ふたむら
二橋	にはし
二田原	にたはら
二神	ふたがみ
二見	ふたみ
五十幡	いそはた
五味	ごみ
五島	ごしま
五島	ごとう
五月	さつき
五百籏頭	いおきべ
五藤	ごとう
五辻	いつつじ
井下	いのした
井並	いなみ
井入	いいり
井出	いで
井坂	いさか
井垣	いがき
井山	いやま
井崎	いざき
井川	いかわ
井川	いがわ
井手	いて
井手口	いでぐち
井本	いもと
井森	いもり
井沢	いざわ
井波	いなみ
井澤	いざわ
井田	いだ
井筒	いずつ
井草	いぐさ
井谷	いたに
井野	いの
京村	きょうむら
人見	ひとみ
仁平	にだいら
仁木	にき
仁科	にしな
今中	いまなか
今別府	いまべっぷ
今堀	いまほり
今川	いまがわ
今本	いまもと
今村	いまむら
今橋	いまはし
今泉	いまいずみ
今西	いまにし
今谷	いまたに
今里	いまざと
今野	こんの
仙石	せんごく
仲	なか
仲井	なかい
仲代	なかだい
仲咲	なかさき
仲川	なかがわ
仲田	なかだ
仲町	なかまち
仲西	なかにし
伊丹	いたみ
伊佐	いさ
伊原	いはら
伊吹	いぶき
伊地知	いちじ
伊差川	いさがわ
伊敷	いしき
伊澤	いざわ
伊狩	いかり
伊田	いだ
伊福部	いふくべ
伊賀	いが
伏見	ふしみ
会津	あいづ
伴野	ともの
住	すみ
住友	すみとも
住吉	すみよし
住山	すみやま
住本	すみもと
住田	すみだ
佐々井	ささい
佐々城	ささき
佐々木	ささき
佐々田	ささだ
佐久本	さくもと
佐久間	さくま
佐和	さわ
佐山	さやま
佐川	さがわ
佐怒賀	さぬか
佐村	さむら
佐瀬	させ
佐田	さた
佐田	さだ
佐竹	さたけ
佗美	たくみ
作間	さくま
依田	よだ
保坂	ほさか
保村	やすむら
保田	ほだ
保田	やすだ
保科	ほしな
保立	ほたて
信田	しだ
俵田	たわらだ
倉岡	くらおか
倉本	くらもと
倉沢	くらさわ
倉澤	くらさわ
倉田	くらた
倉石	くらいし
倉野	くらの
倉骨	くらほね
倭島	わじま
傳田	でんだ
元倉	もとくら
元田	もとだ
先崎	せんざき
光井	みつい
光安	みつやす
光岡	みつおか
児島	こじま
児嶋	こじま
児玉	こだま
入倉	いりくら
入山	いりやま
入江	いりえ
入沢	いりさわ
全田	ぜんだ
八代	やしろ
八島	やしま
八嶋	やしま
八巻	やまき
八幡	やはた
八木	やぎ
八木沼	やぎぬま
八津	やつ
八牧	やまき
八神	やがみ
八雲	やくも
八馬	はちうま
六塚	むつづか
六浦	むつうら
兵藤	ひょうどう
兵頭	ひょうどう
兼子	かねこ
兼清	かねきよ
内山	うちやま
内村	うちむら
内海	うつみ
内片	うちかた
内野	うちの
円谷	つぶらや
円谷	つむらや
冨水	とみみず
冨永	とみなが
冨澤	とみざわ
冨田	とみた
冴木	さえき
出村	でむら
出雲	いずも
初瀬	はつせ
別府	べっぷ
利根川	とねがわ
前原	まえはら
前嶋	まえじま
前川	まえかわ
前根	まえね
前田	まえた
前田	まえだ
副島	そえじま
功刀	くぬぎ
加世田	かせだ
加山	かやま
加島	かじま
加川	かがわ
加東	かとう
加毛	かも
加治	かじ
加瀬	かせ
加美	かみ
加茂	かも
加藤	かとお
加賀美	かがみ
加賀谷	かがや
加野	かの
加須屋	かすや
勝	かつ
勝亦	かつまた
勝山	かつやま
勝村	かつむら
勝野	かつの
北上	きたがみ
北原	きたはら
北口	きたくち
北口	きたぐち
北山	きたやま
北岡	きたおか
北島	きたじま
北川	きたかわ
